Student_ID,First_Name,Last_Name,Email,Gender,Age,Department,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night
S1406,Emma,Davis,student406@university.com,Male,21,Mathematics,57.28,90.69,57.47,50.23,54.42,6.39,72.97,75.09,D,27.6,No,Yes,,High,2,4.3
S3662,Sara,Johnson,student2662@university.com,Female,23,Engineering,67.51,60.54,94.71,57.99,99.86,7.29,67.3,81.05,A,14.0,No,No,,Medium,4,8.3
S4621,Emma,Smith,student3621@university.com,Male,22,Business,52.21,61.19,59.86,90.3,96.89,9.9,58.92,76.33,D,28.5,No,Yes,,Low,8,7.3
S5798,Maria,Smith,student4798@university.com,Male,20,CS,76.21,41.62,77.88,65.14,86.14,5.64,96.37,67.6,F,14.7,No,Yes,,Low,9,7.3
S5624,Ahmed,Brown,student4624@university.com,Female,20,CS,76.63,98.34,56.17,63.0,87.76,9.29,95.19,64.76,B,19.1,Yes,Yes,PhD,Low,7,6.5
S1757,John,Johnson,student757@university.com,Male,19,CS,67.75,65.23,57.29,68.91,99.96,8.16,82.51,63.44,B,15.7,No,No,,Low,3,4.9
S4448,Liam,Davis,student3448@university.com,Female,21,CS,83.21,70.66,55.66,76.73,61.32,2.79,73.56,91.04,C,5.2,No,Yes,PhD,Medium,8,6.7
S4704,Omar,Davis,student3704@university.com,Male,22,CS,95.44,73.52,66.23,81.53,72.51,5.68,84.59,80.11,A,6.3,No,Yes,,Low,8,5.4
S1243,Ali,Davis,student243@university.com,Male,21,Engineering,58.46,61.99,99.95,,60.55,6.54,67.05,61.04,F,14.5,No,Yes,High School,Low,6,7.3
S2178,Omar,Brown,student1178@university.com,Female,24,Engineering,,72.29,73.97,60.93,60.69,5.98,90.85,82.97,F,5.4,No,Yes,,Low,3,7.8
S5679,Liam,Jones,student4679@university.com,Female,21,CS,,40.67,94.35,50.04,59.81,5.24,52.53,99.65,F,16.8,No,Yes,High School,Low,7,5.6
S2619,Ahmed,Smith,student1619@university.com,Female,23,CS,67.07,89.14,82.35,82.02,81.72,5.85,81.18,54.55,C,23.6,No,Yes,Master's,Medium,1,4.1
S2423,Omar,Brown,student1423@university.com,Male,20,CS,85.99,53.3,43.13,57.44,96.72,9.36,54.52,92.22,B,25.6,Yes,No,PhD,Medium,2,4.0
S5956,Maria,Brown,student4956@university.com,Female,19,Business,57.7,77.98,52.08,86.67,57.82,8.09,70.18,94.79,F,7.5,Yes,Yes,High School,High,2,8.5
S4204,John,Jones,student3204@university.com,Male,19,Engineering,68.45,83.51,50.95,86.86,56.25,1.38,87.34,78.3,A,15.3,No,Yes,Master's,High,6,6.7
S1208,Emma,Jones,student208@university.com,Female,23,Mathematics,90.3,69.0,56.09,52.53,70.73,5.55,81.15,58.82,B,17.9,No,Yes,,Medium,8,4.4
S3849,Sara,Brown,student2849@university.com,Female,20,Mathematics,,43.74,40.13,82.33,79.87,2.99,69.93,98.91,C,29.5,No,Yes,PhD,Low,1,8.9
S4329,Maria,Davis,student3329@university.com,Male,23,Business,72.23,57.58,98.71,66.73,75.99,9.15,88.51,69.63,D,12.4,No,Yes,,Low,9,4.9
S1971,Omar,Jones,student971@university.com,Male,19,Engineering,70.25,79.51,63.31,69.53,55.43,7.88,90.24,82.02,D,12.6,No,Yes,High School,Low,9,7.9
S2740,Liam,Jones,student1740@university.com,Male,19,CS,76.95,42.72,68.27,99.69,66.25,3.84,93.28,54.51,C,26.6,No,Yes,,Low,3,5.3
S3347,Sara,Davis,student2347@university.com,Male,18,CS,66.48,74.45,84.03,50.52,52.77,5.02,59.21,68.45,C,21.8,Yes,Yes,Master's,Medium,3,4.1
S2392,Liam,Williams,student1392@university.com,Female,19,CS,,92.49,51.24,83.42,80.43,0.08,92.51,93.87,D,20.8,No,Yes,Master's,Medium,8,7.7
S3228,Ali,Davis,student2228@university.com,Male,19,Business,83.19,40.23,75.19,62.37,82.2,2.16,57.64,68.07,C,5.4,No,No,Master's,High,2,7.6
S3446,Ahmed,Williams,student2446@university.com,Female,19,CS,67.42,69.59,44.99,56.3,80.09,4.76,94.89,70.95,F,15.5,Yes,Yes,PhD,High,1,8.0
S2016,Sara,Davis,student1016@university.com,Female,22,CS,53.95,89.05,40.01,83.02,95.79,3.74,50.59,78.51,D,10.8,No,Yes,Master's,Medium,10,4.1
S2505,John,Jones,student1505@university.com,Female,18,CS,80.72,48.24,61.2,56.26,99.44,3.46,58.76,62.5,F,24.1,No,Yes,High School,Medium,7,4.7
S5609,Ali,Davis,student4609@university.com,Male,19,CS,85.07,48.48,46.38,52.05,66.31,9.48,81.84,69.81,A,13.6,No,Yes,High School,Medium,2,7.1
S3967,Ahmed,Brown,student2967@university.com,Male,18,CS,99.27,82.45,64.29,93.62,72.09,3.26,80.12,60.97,A,20.2,Yes,Yes,Bachelor's,Low,1,6.6
S1108,Emma,Smith,student108@university.com,Female,22,Business,87.32,53.96,57.7,77.2,62.36,4.66,61.48,59.97,A,9.6,No,Yes,,Low,10,5.3
S2653,Omar,Williams,student1653@university.com,Female,18,Engineering,63.11,81.72,70.84,56.97,71.41,1.82,89.35,77.71,B,13.3,No,Yes,Bachelor's,High,7,5.8
S5704,Ali,Smith,student4704@university.com,Female,24,CS,52.42,72.85,82.37,91.79,96.43,7.79,93.18,65.82,F,21.5,No,Yes,,Low,9,7.8
S2146,Omar,Jones,student1146@university.com,Male,18,CS,60.19,42.41,56.96,81.0,94.79,3.68,71.1,74.39,D,7.6,No,Yes,PhD,Low,10,8.1
S1089,Sara,Brown,student89@university.com,Female,23,Mathematics,,76.64,57.51,61.99,96.23,3.62,72.4,88.34,F,8.0,No,Yes,Bachelor's,Medium,8,6.4
S3476,Liam,Brown,student2476@university.com,Male,20,Mathematics,67.99,91.53,55.98,88.97,73.41,5.59,87.39,78.46,C,10.9,No,No,,Medium,2,6.4
S1664,Ali,Brown,student664@university.com,Male,21,Engineering,62.7,91.78,72.05,68.59,89.16,1.44,88.56,60.06,F,11.1,No,Yes,High School,Medium,9,8.8
S4285,Maria,Davis,student3285@university.com,Female,24,Engineering,85.96,75.03,77.87,66.64,52.49,3.6,84.94,91.13,A,24.4,Yes,Yes,PhD,Low,4,6.2
S2642,Ahmed,Williams,student1642@university.com,Female,23,CS,54.08,85.82,59.63,67.58,91.46,8.15,71.66,56.59,D,14.8,Yes,Yes,Master's,Medium,8,7.7
S2368,Ali,Jones,student1368@university.com,Female,21,CS,61.47,69.39,58.29,98.05,66.43,8.55,87.57,56.42,C,6.1,No,Yes,High School,Low,6,6.5
S5743,Ahmed,Davis,student4743@university.com,Female,21,Engineering,74.14,84.47,61.33,97.08,77.47,2.58,79.4,63.43,F,27.7,No,Yes,,Low,6,8.7
S2891,Emma,Johnson,student1891@university.com,Male,23,Engineering,54.77,44.56,63.83,63.47,66.74,0.2,67.74,62.38,C,29.6,No,No,PhD,Medium,6,4.9
S2792,Omar,Johnson,student1792@university.com,Male,24,Business,76.29,87.09,67.31,80.74,69.87,9.48,68.01,54.59,C,28.0,No,Yes,Master's,Low,1,7.3
S1572,Ali,Brown,student572@university.com,Male,19,CS,57.17,41.9,67.55,93.65,71.3,6.43,93.11,56.85,F,23.4,No,Yes,Bachelor's,Medium,5,7.5
S3900,Sara,Brown,student2900@university.com,Female,19,Engineering,,49.57,63.12,80.81,88.3,8.12,57.31,81.01,B,28.0,No,Yes,Bachelor's,High,5,7.8
S1031,Ali,Johnson,student31@university.com,Male,22,Mathematics,99.81,45.54,61.31,52.37,96.38,8.43,69.03,52.91,B,19.1,No,Yes,Bachelor's,Low,3,6.3
S3729,Ali,Johnson,student2729@university.com,Female,18,Business,84.56,58.49,85.39,99.35,55.69,5.31,68.9,79.55,D,7.4,Yes,Yes,High School,Low,4,8.2
S5612,Ahmed,Davis,student4612@university.com,Male,24,Mathematics,66.72,85.51,88.63,95.65,71.06,0.07,82.04,90.51,B,10.8,Yes,Yes,,High,5,7.3
S1012,John,Davis,student12@university.com,Male,21,Engineering,55.44,81.39,40.66,65.02,69.11,2.06,70.78,59.06,F,18.1,No,Yes,Master's,High,8,4.5
S3587,Sara,Brown,student2587@university.com,Male,24,CS,97.98,70.96,48.59,,77.74,4.46,82.65,98.12,B,13.4,Yes,Yes,Bachelor's,Low,3,6.1
S4390,Liam,Davis,student3390@university.com,Male,24,Engineering,87.29,78.39,60.8,92.85,87.35,0.38,94.96,72.07,A,13.1,Yes,No,PhD,High,4,5.5
S4764,Omar,Johnson,student3764@university.com,Female,18,Engineering,61.83,90.86,67.95,68.68,97.9,1.6,57.09,90.24,B,26.3,Yes,Yes,High School,Medium,9,6.1
S5029,Sara,Jones,student4029@university.com,Male,24,Business,66.67,81.28,73.77,58.08,86.2,1.25,79.0,89.57,B,27.0,No,Yes,,Medium,6,6.9
S5040,Maria,Jones,student4040@university.com,Female,21,Engineering,53.24,82.39,56.99,71.65,77.06,9.07,91.7,77.03,D,10.7,Yes,Yes,,Medium,4,6.4
S5293,Ali,Williams,student4293@university.com,Female,20,CS,,75.38,96.79,95.94,74.57,5.39,79.5,65.03,A,23.8,Yes,Yes,Master's,High,1,7.3
S4629,Liam,Jones,student3629@university.com,Male,21,CS,76.49,73.19,53.55,77.82,63.93,5.39,84.07,52.92,B,25.1,No,No,PhD,Medium,3,4.1
S5644,Maria,Davis,student4644@university.com,Male,24,Business,93.59,74.77,60.56,91.09,60.71,1.44,63.22,98.52,A,18.8,No,Yes,PhD,Low,1,5.8
S4136,Maria,Davis,student3136@university.com,Female,18,Mathematics,52.91,90.67,56.99,55.12,67.18,8.64,74.12,81.47,C,21.6,No,Yes,PhD,Low,1,5.2
S4770,Sara,Smith,student3770@university.com,Male,21,Business,95.05,42.91,56.16,62.61,96.24,9.09,71.4,68.01,B,25.6,Yes,Yes,,Low,4,7.1
S5281,Emma,Davis,student4281@university.com,Female,23,Business,85.63,58.54,48.95,,95.88,1.55,97.9,70.39,A,9.6,No,Yes,High School,Medium,8,6.3
S2876,Ahmed,Johnson,student1876@university.com,Male,18,CS,53.82,80.19,48.43,57.62,82.17,5.59,76.86,81.46,C,6.1,No,Yes,,Medium,9,6.7
S1588,Maria,Williams,student588@university.com,Male,24,CS,95.29,59.96,87.87,,87.84,3.39,51.06,60.45,B,11.5,Yes,Yes,PhD,Medium,9,4.7
S3429,John,Smith,student2429@university.com,Female,24,Engineering,88.84,75.28,81.74,85.08,97.99,9.82,99.59,54.14,B,20.9,Yes,Yes,,Medium,9,5.2
S4568,Sara,Davis,student3568@university.com,Female,19,Engineering,74.86,83.9,85.24,84.44,50.56,9.57,79.86,74.64,C,17.5,Yes,Yes,Bachelor's,Low,6,6.0
S3363,Maria,Johnson,student2363@university.com,Male,19,CS,83.43,95.85,67.97,,64.69,0.01,73.66,56.78,A,19.8,No,Yes,PhD,Low,3,4.4
S1648,Liam,Davis,student648@university.com,Male,22,CS,50.8,68.11,75.26,91.23,62.48,0.45,98.77,84.79,D,22.8,Yes,Yes,High School,Low,4,8.6
S2550,Ahmed,Davis,student1550@university.com,Male,21,Engineering,98.6,91.37,70.23,94.06,68.12,9.98,94.29,78.47,B,12.8,No,Yes,Bachelor's,High,5,7.9
S2895,Omar,Davis,student1895@university.com,Female,22,CS,90.78,78.63,79.92,88.3,90.89,7.65,53.69,61.13,A,7.5,No,Yes,Bachelor's,Medium,7,6.8
S2495,Ahmed,Davis,student1495@university.com,Male,20,CS,80.44,63.31,46.97,80.32,74.16,1.03,97.73,82.24,B,21.4,No,Yes,High School,Medium,6,8.9
S5428,Omar,Williams,student4428@university.com,Male,24,Business,68.72,45.59,63.86,74.32,75.38,6.45,75.38,85.7,F,9.9,No,Yes,,Medium,3,7.4
S3266,Maria,Johnson,student2266@university.com,Male,24,Business,94.11,85.54,95.14,50.45,63.6,3.76,64.68,99.33,A,19.9,No,Yes,Bachelor's,Medium,4,5.1
S5053,Ahmed,Smith,student4053@university.com,Female,18,Engineering,66.79,84.42,90.18,95.99,68.91,1.87,89.24,85.09,F,24.4,No,Yes,PhD,Medium,7,6.6
S3565,Liam,Brown,student2565@university.com,Female,20,Engineering,71.67,71.99,95.18,68.93,57.7,8.19,80.74,50.28,D,27.1,Yes,Yes,Bachelor's,Medium,8,5.0
S2293,Ali,Williams,student1293@university.com,Male,21,Mathematics,,87.15,93.63,89.64,81.38,0.15,71.84,65.61,D,19.2,Yes,Yes,,Medium,5,6.3
S1141,Ali,Smith,student141@university.com,Male,20,Business,69.51,60.22,89.61,98.16,94.83,2.46,62.88,69.05,B,22.5,No,Yes,,Low,5,4.2
S4126,Sara,Smith,student3126@university.com,Female,22,CS,51.53,50.36,81.3,,93.12,6.52,57.49,67.03,D,20.9,No,Yes,,Low,1,5.0
S3385,Emma,Jones,student2385@university.com,Female,22,Engineering,76.53,65.87,41.91,73.98,54.88,2.08,90.91,50.75,F,12.5,No,Yes,Master's,High,5,6.7
S2144,Maria,Johnson,student1144@university.com,Female,19,CS,82.55,93.04,77.15,56.13,55.11,9.12,66.76,58.73,D,7.0,Yes,Yes,PhD,Low,1,4.1
S2034,Ali,Williams,student1034@university.com,Female,20,Engineering,90.49,46.43,75.26,67.38,73.42,7.69,66.31,67.89,B,9.6,No,Yes,High School,Medium,5,6.9
S1273,Liam,Brown,student273@university.com,Female,22,CS,,95.49,47.66,57.3,66.84,3.34,85.63,77.99,F,22.4,Yes,Yes,Bachelor's,Low,2,8.7
S1809,Ahmed,Johnson,student809@university.com,Female,19,Engineering,92.41,99.15,80.18,70.79,67.79,7.32,67.97,57.02,B,14.7,No,Yes,High School,Medium,5,6.1
